	SMILES
0	CC(=O)C1CC2C(C1)O2
1	C1C(CC2C1CC2=O)O
2	C1[C@@H](C[C@H]2[C@@H]1CC2=O)O
3	C1[C@H](C[C@@H]2[C@H]1CC2=O)O
4	CCOC5=C(OC=C5)C
5	CC(=O)C3(CC3)CC=O
6	COC8CCC(=C8)C=O
7	C7CC(C7)C(=O)C7CO7
8	CCC3CCC(=O)C3=O
9	CC[C@H]6CCC(=O)C6=O
10	CC12CCC(C1)C(=O)O2
11	C9CC(C(C9)C=O)C=O
12	C6C[C@@H]([C@H](C6)C=O)C=O
13	CC12CC8C(O8)CC1O2
14	CC5CC(C(=O)C=C5)O
15	CC5CC(C(=O)C5=O)C
16	C[C@@H]5C[C@@H](C(=O)C5=O)C
17	C[C@@H]2C[C@H](C(=O)C2=O)C
18	C[C@H]5C[C@@H](C(=O)C5=O)C
19	C8C/C=C\CC(=O)OC8
20	CC(=O)CC2(CC2)C=O
21	C1COC2CC=CC1O2
22	CC12CC(C1)(OC2=O)C
23	COCC6CC=CC6=O
24	CC12C(O1)CCCC2=O
25	C[C@@]12[C@@H](O1)CCCC2=O
26	C[C@]12[C@H](O1)CCCC2=O
27	CC4C(C=CC4=O)OC
28	CCCC5=CC(=O)OC5
29	CC12CCC(=O)CC1O2
30	C[C@]12CCC(=O)C[C@H]1O2
31	C3CC3CC(=O)CC=O
32	CC[C@]3(C=CCC3=O)O
33	CCC6=C(C=C(O6)C)O
34	C1CC(=O)C9(CC9)OC1
35	C1CC2(CC1=O)COC2
36	CC7(CCCC7=O)C=O
37	C[C@]4(CCCC4=O)C=O
38	C[C@@]5(CCCC5=O)C=O
39	CC2(C(=O)C=CCO2)C
40	C1CC2CC1CC(=O)O2
41	C1C[C@@H]2C[C@H]1CC(=O)O2
42	C1C[C@H]2C[C@@H]1CC(=O)O2
43	C1C[C@H]2C[C@H]1CC(=O)O2
44	C1C2CC(C1C3C2O3)O
45	C1[C@H]2C[C@H]([C@@H]1[C@@H]3[C@H]2O3)O
46	C1[C@@H]2C[C@@H]([C@H]1[C@H]3[C@@H]2O3)O
47	C1[C@H]2C[C@@H]([C@@H]1C3C2O3)O
48	C1[C@H]2C[C@@H]([C@@H]1[C@@H]3[C@H]2O3)O
49	C1[C@H]2C[C@@H]([C@@H]1[C@H]3[C@@H]2O3)O
50	C1[C@@H]2C(CC1C3C2O3)O
51	CC5=CC(=O)CC5CO
52	CC2=CC(=O)C[C@H]2CO
53	C1C4COCC4C1C=O
54	C4CC4C8CC(=O)CO8
55	C8CC8[C@H]1CC(=O)CO1
56	C5CC5[C@@H]4CC(=O)CO4
57	CC7C=CCCC(=O)O7
58	CC(CO)C2=COC=C2
59	C[C@@H](CO)C4=COC=C4
60	CC(=O)OC12CC(C1)C2
61	CC12CC(=O)CC1(O2)C
62	C[C@@H]1[C@@H]4[C@@H](O4)CCC1=O
63	C[C@H]1[C@H]4[C@H](O4)CCC1=O
64	CC5CC(=O)C=CC5O
65	C[C@@H]4CC(=O)C=C[C@H]4O
66	C[C@@H]2CC(=O)C=C[C@@H]2O
67	CC7CC(=O)C=C[C@H]7O
68	CC(CC9=CC=CO9)O
69	C[C@H](CC8=CC=CO8)O
70	C[C@@H](CC4=CC=CO4)O
71	CC3CC(=CC(=O)O3)C
72	C[C@H]6CC(=CC(=O)O6)C
73	C[C@@H]2CC(=CC(=O)O2)C
74	C1CC(=O)C2(C1C2)CO
75	C1CC(=O)[C@]2([C@@H]1C2)CO
76	C/4CC(=O)OCC/C=C4
77	C\5CC(=O)OCC/C=C5
78	CCC12CC1COC2=O
79	C1C=CC2CC1OCO2
80	CC1=C[C@H]2[C@H](C[C@@H]1O2)O
81	CC1=C[C@@H]2[C@@H](C[C@H]1O2)O
82	CC1CC9C(C9O)C1=O
83	C3CC=C(C(C3)O)C=O
84	C6CC=C([C@H](C6)O)C=O
85	C4CC=C([C@@H](C4)O)C=O
86	CCC4=CC(=C(O4)C)O
87	CC12CCC(C1)OC2=O
88	C1COCC2(C1=O)CC2
89	CC5=COC=C5COC
90	CC2=C(C(=O)CC2O)C
91	CC5=C(C(=O)C[C@@H]5O)C
92	CC8=C(C(=O)C[C@H]8O)C
93	CC4=C(OC=C4)CCO
94	CC1(C(=O)C2(O1)CC2)C
95	CCC3=COC=C3OC
96	C1[C@H]2C[C@H]3[C@@H]([C@@H]1[C@@H]2O3)O
97	CCCC6C=CC(=O)O6
98	CCC[C@@H]9C=CC(=O)O9
99	CCC[C@H]9C=CC(=O)O9
100	C3CC3C1CC(=O)OC1
101	COC(=O)C1C2CC1C2
102	C1CO[C@@H]2[C@H]1OCC=C2
103	CC12CC(C(=O)C1)OC2
104	CC(=O)C9(CCC9)C=O
105	CC3C(C(=O)CC3=O)C
106	C1CC2C(C1CC2=O)O
107	C1C[C@H]2[C@H]([C@@H]1CC2=O)O
108	C1C[C@H]2[C@@H]([C@@H]1CC2=O)O
109	C1C[C@H]2C(C=C[C@@H]1O2)O
110	CC2CCCC(=O)C2=O
111	C[C@H]6CCCC(=O)C6=O
112	C[C@@H]9CCCC(=O)C9=O
113	C9C=CC(=O)CC9CO
114	C6C=CC(=O)C[C@@H]6CO
115	C9C=CC(=O)C[C@H]9CO
116	C1C=CCC2(C1O2)CO
117	CC5=C(C(=O)OCC5)C
118	CC4=C(COC(=O)C4)C
119	C1CC4COC(=O)C4C1
120	C1C[C@H]5COC(=O)[C@H]5C1
121	C1C[C@@H]6COC(=O)[C@@H]6C1
122	C1C[C@@H]8COC(=O)C8C1
123	C1C[C@H]7COC(=O)[C@@H]7C1
124	C1C[C@@H]3COC(=O)[C@H]3C1
125	CC6=CC(CC6=O)CO
126	CCC1[C@H]2[C@@H]1OC(=O)C2
127	CCC7CC(=O)CC7=O
128	C1C4C(C4CC=O)CO1
129	CC(=O)C12CC(C1)(C2)O
130	CC4=C(OC(=C4)CO)C
131	CC12CCC(=O)C1(O2)C
132	CC(C3=CCCC3=O)O
133	CC1=C[C@H]([C@@H]2[C@H](C1)O2)O
134	CC1=C[C@@H](C2C(C1)O2)O
135	CC7CC=CCC(=O)O7
136	CCOC3C=CCC3=O
137	C5CC=C(C5)COC=O
138	CC5=CC(=O)CC5(C)O
139	CC7=CC(=O)C[C@@]7(C)O
140	CC2=CC(=O)C[C@]2(C)O
141	C1CC2CC1C(C2=O)O
142	C1C[C@@H]2C[C@H]1[C@H](C2=O)O
143	C1C[C@@H]2C[C@@H]1[C@@H](C2=O)O
144	C1C[C@H]2C[C@H]1[C@H](C2=O)O
145	C1CC2C[C@H]1C(=O)[C@H]2O
146	C1CC2C[C@H]1[C@H](C2=O)O
147	COC12CCC(O1)C=C2
148	C[C@@]1(C[C@H]2C=C[C@@H]1O2)O
149	C8C=CC(C8O)CC=O
150	C9C=C[C@H]([C@H]9O)CC=O
151	C3C=C[C@@H]([C@@H]3O)CC=O
152	C6CC(CC=C6)(C=O)O
153	CC(C)C4=CCOC4=O
154	CC(=O)C(=O)C6CCC6
155	CC[C@]12CCC(=O)[C@H]1O2
156	C2CC(=O)CCC(=O)C2
157	C5C[C@@H](C(C=C5)C=O)O
158	C6CC64CCOC(=O)C4
159	C9CC(C9)C(=O)CC=O
160	C1[C@@H](C2CC1C2)OC=O
161	C1C(CC2C=CC1O2)O
162	C1[C@@H]6C=C[C@@H](O6)CC1O
163	C1[C@H]8C=C[C@@H](O8)CC1O
164	C[C@@H]1CC[C@@H]2[C@H]1C(=O)O2
165	C1C2CC(C1C(=O)C2)O
166	C1[C@@H]2CC([C@H]1C(=O)C2)O
167	C1[C@H]2C[C@H]([C@@H]1C(=O)C2)O
168	C1[C@@H]2C[C@@H]([C@H]1C(=O)C2)O
169	C1[C@@H]2C[C@@H]([C@@H]1C(=O)C2)O
170	CCC3=CC(=CO3)OC
171	C1CC(=O)C2(C1O)CC2
172	C1CC(=O)C2([C@H]1O)CC2
173	CCOC2=CC(=CO2)C
174	C1CC2CC1C(=O)CO2
175	C3C(CC35CC(=O)C5)O
176	C1CC(=O)C2C1COC2
177	C1CC(=O)[C@H]2[C@@H]1COC2
178	C1CC(=CC2C1O2)CO
179	C1CC7CC(=O)C7OC1
180	CC7=COC(=C7CO)C
181	C1CC9C(O9)CC(=O)C1
182	CC7=CC=C(O7)CCO
183	C1C=C(CC2C1O2)CO
184	C7C=CC(CC7O)C=O
185	CCC7=C(C=CO7)OC
186	CCC12C(O1)CCC2=O
187	CC4(CC4C(=O)C=O)C
188	C1CC(=O)CC2(C1)CO2
189	CC8C(CC=CC8=O)O
190	C[C@H]4[C@H](CC=CC4=O)O
191	C1CC2C(=CC1O2)CO
192	C5C=CCC(C5C=O)O
193	C8C=CC[C@H]([C@H]8C=O)O
194	CC1C2CCC(C1=O)O2
195	C[C@@H]1[C@H]2CC[C@@H](C1=O)O2
196	C1CC9(CC9)COC1=O
197	C4CCOC(=O)C=CC4
198	C2CCOC(=O)/C=C\C2
199	CCOC6=C(C=CO6)C
200	CC(=O)OC1C2CC1C2
201	CC(=O)C8CC=CCO8
202	CC(=O)[C@@H]7CC=CCO7
203	CC2=CC(CCC2=O)O
204	CC3=C[C@@H](CCC3=O)O
205	CC7=C[C@H](CCC7=O)O
206	CCC6=CCCOC6=O
207	C5CC(C=CC5C=O)O
208	CC(=O)C1C2C1COC2
