	SMILES
0	[CH3][C](=[O])[CH]1[CH2][CH]2[O][CH]2[CH2]1
1	[O]=[C]1[CH2][CH]2[CH2][CH]([OH])[CH2][CH]12
2	[O]=[C]1[CH2][C@@H]2[CH2][C@H]([OH])[CH2][C@H]12
3	[O]=[C]1[CH2][C@H]2[CH2][C@@H]([OH])[CH2][C@@H]12
4	[CH3][CH2][O][c]1[cH][cH][o][c]1[CH3]
5	[CH3][C](=[O])[C]1([CH2][CH]=[O])[CH2][CH2]1
6	[CH3][O][CH]1[CH]=[C]([CH]=[O])[CH2][CH2]1
7	[O]=[C]([CH]1[CH2][CH2][CH2]1)[CH]1[CH2][O]1
8	[CH3][CH2][CH]1[CH2][CH2][C](=[O])[C]1=[O]
9	[CH3][CH2][C@H]1[CH2][CH2][C](=[O])[C]1=[O]
10	[CH3][C]12[CH2][CH2][CH]([CH2]1)[C](=[O])[O]2
11	[O]=[CH][CH]1[CH2][CH2][CH2][CH]1[CH]=[O]
12	[O]=[CH][C@H]1[CH2][CH2][CH2][C@@H]1[CH]=[O]
13	[CH3][C]12[CH2][CH]3[O][CH]3[CH2][CH]1[O]2
14	[CH3][CH]1[CH]=[CH][C](=[O])[CH]([OH])[CH2]1
15	[CH3][CH]1[CH2][CH]([CH3])[C](=[O])[C]1=[O]
16	[CH3][C@@H]1[CH2][C@H]([CH3])[C](=[O])[C]1=[O]
17	[CH3][C@@H]1[CH2][C@@H]([CH3])[C](=[O])[C]1=[O]
18	[CH3][C@H]1[CH2][C@H]([CH3])[C](=[O])[C]1=[O]
19	[O]=[C]1[CH2]/[CH]=[CH]\[CH2][CH2][CH2][O]1
20	[CH3][C](=[O])[CH2][C]1([CH]=[O])[CH2][CH2]1
21	[CH]1=[CH][CH]2[CH2][CH2][O][CH]([CH2]1)[O]2
22	[CH3][C]12[CH2][C]([CH3])([CH2]1)[C](=[O])[O]2
23	[CH3][O][CH2][CH]1[CH2][CH]=[CH][C]1=[O]
24	[CH3][C]12[O][CH]1[CH2][CH2][CH2][C]2=[O]
