	SMILES
0	CC(=O)C1CC2OC2C1
1	O=C1CC2CC(O)CC12
2	O=C1C[C@@H]2C[C@H](O)C[C@H]12
3	O=C1C[C@H]2C[C@@H](O)C[C@@H]12
4	CCOC1=C(C)OC=C1
5	CC(=O)C1(CC=O)CC1
6	COC1C=C(C=O)CC1
7	O=C(C1CCC1)C1CO1
8	CCC1CCC(=O)C1=O
9	CC[C@H]1CCC(=O)C1=O
10	CC12CCC(C1)C(=O)O2
11	O=CC1CCCC1C=O
12	O=C[C@H]1CCC[C@@H]1C=O
13	CC12CC3OC3CC1O2
14	CC1C=CC(=O)C(O)C1
15	CC1CC(C)C(=O)C1=O
16	C[C@@H]1C[C@H](C)C(=O)C1=O
17	C[C@@H]1C[C@@H](C)C(=O)C1=O
18	C[C@H]1C[C@H](C)C(=O)C1=O
19	O=C1C/C=C\CCCO1
20	CC(=O)CC1(C=O)CC1
21	C1=CC2CCOC(C1)O2
22	CC12CC(C)(C1)C(=O)O2
23	COCC1CC=CC1=O
24	CC12OC1CCCC2=O
25	C[C@]12O[C@H]1CCCC2=O
26	C[C@@]12O[C@@H]1CCCC2=O
27	COC1C=CC(=O)C1C
28	CCCC1=CC(=O)OC1
29	CC12CCC(=O)CC1O2
30	C[C@]12CCC(=O)C[C@H]1O2
31	O=CCC(=O)CC1CC1
32	CC[C@@]1(O)C=CCC1=O
33	CCC1=C(O)C=C(C)O1
34	O=C1CCCOC12CC2
35	O=C1CCC2(COC2)C1
36	CC1(C=O)CCCC1=O
37	C[C@@]1(C=O)CCCC1=O
38	C[C@]1(C=O)CCCC1=O
39	CC1(C)OCC=CC1=O
40	O=C1CC2CCC(C2)O1
41	O=C1C[C@H]2CC[C@H](C2)O1
42	O=C1C[C@@H]2CC[C@@H](C2)O1
43	O=C1C[C@H]2CC[C@@H](C2)O1
44	OC1CC2CC1C1OC21
45	O[C@@H]1C[C@@H]2C[C@H]1[C@H]1O[C@@H]21
46	O[C@H]1C[C@H]2C[C@@H]1[C@@H]1O[C@H]21
47	O[C@H]1C[C@@H]2C[C@H]1C1OC12
48	O[C@H]1C[C@@H]2C[C@H]1[C@H]1O[C@@H]21
49	O[C@H]1C[C@@H]2C[C@H]1[C@@H]1O[C@H]21
50	OC1CC2C[C@H]1C1OC21
51	CC1=CC(=O)CC1CO
52	CC1=CC(=O)C[C@H]1CO
53	O=CC1CC2COCC12
54	O=C1COC(C2CC2)C1
55	O=C1CO[C@@H](C2CC2)C1
56	O=C1CO[C@H](C2CC2)C1
57	CC1C=CCCC(=O)O1
58	CC(CO)C1=COC=C1
59	C[C@@H](CO)C1=COC=C1
60	CC(=O)OC12CC(C1)C2
61	CC12CC(=O)CC1(C)O2
62	C[C@H]1C(=O)CC[C@@H]2O[C@@H]21
63	C[C@@H]1C(=O)CC[C@H]2O[C@@H]12
64	CC1CC(=O)C=CC1O
65	C[C@@H]1CC(=O)C=C[C@H]1O
66	C[C@@H]1CC(=O)C=C[C@@H]1O
67	CC1CC(=O)C=C[C@H]1O
68	CC(O)CC1=CC=CO1
69	C[C@@H](O)CC1=CC=CO1
70	C[C@H](O)CC1=CC=CO1
71	CC1=CC(=O)OC(C)C1
72	CC1=CC(=O)O[C@@H](C)C1
73	CC1=CC(=O)O[C@H](C)C1
74	O=C1CCC2CC12CO
75	O=C1CC[C@H]2C[C@@]12CO
76	O=C1CC/C=C\CCO1
77	O=C1CC/C=C/CCO1
78	CCC12CC1COC2=O
79	C1=CC2CC(C1)OCO2
80	CC1=C[C@@H]2O[C@H]1C[C@@H]2O
81	CC1=C[C@H]2O[C@@H]1C[C@H]2O
82	CC1CC2C(O)C2C1=O
83	O=CC1=CCCCC1O
84	O=CC1=CCCC[C@@H]1O
85	O=CC1=CCCC[C@H]1O
86	CCC1=CC(O)=C(C)O1
87	CC12CCC(C1)OC2=O
88	O=C1CCOCC12CC2
89	COCC1=COC=C1C
90	CC1=C(C)C(O)CC1=O
91	CC1=C(C)[C@@H](O)CC1=O
92	CC1=C(C)[C@H](O)CC1=O
93	CC1=C(CCO)OC=C1
94	CC1(C)OC2(CC2)C1=O
95	CCC1=COC=C1OC
96	O[C@@H]1[C@H]2C[C@H]3C[C@@H]1O[C@H]32
97	CCCC1C=CC(=O)O1
98	CCC[C@@H]1C=CC(=O)O1
99	CCC[C@H]1C=CC(=O)O1
100	O=C1CC(C2CC2)CO1
101	COC(=O)C1C2CC1C2
102	C1=C[C@@H]2OCC[C@@H]2OC1
103	CC12COC(C1)C(=O)C2
104	CC(=O)C1(C=O)CCC1
105	CC1C(=O)CC(=O)C1C
106	O=C1CC2CCC1C2O
107	O=C1C[C@@H]2CC[C@H]1[C@H]2O
108	O=C1C[C@@H]2CC[C@H]1[C@@H]2O
109	OC1C=C[C@H]2CC[C@@H]1O2
110	CC1CCCC(=O)C1=O
111	C[C@H]1CCCC(=O)C1=O
112	C[C@@H]1CCCC(=O)C1=O
113	O=C1C=CCC(CO)C1
114	O=C1C=CC[C@@H](CO)C1
115	O=C1C=CC[C@H](CO)C1
116	OCC12CC=CCC1O2
117	CC1=C(C)C(=O)OCC1
118	CC1=C(C)CC(=O)OC1
119	O=C1OCC2CCCC12
120	O=C1OC[C@@H]2CCC[C@H]12
121	O=C1OC[C@H]2CCC[C@@H]12
122	O=C1OC[C@H]2CCCC12
123	O=C1OC[C@@H]2CCC[C@@H]12
124	O=C1OC[C@H]2CCC[C@H]12
125	CC1=CC(CO)CC1=O
126	CCC1[C@H]2OC(=O)C[C@@H]12
127	CCC1CC(=O)CC1=O
128	O=CCC1C2COCC12
129	CC(=O)C12CC(O)(C1)C2
130	CC1=C(C)OC(CO)=C1
131	CC12CCC(=O)C1(C)O2
132	CC(O)C1=CCCC1=O
133	CC1=C[C@@H](O)[C@H]2O[C@H]2C1
134	CC1=C[C@H](O)C2OC2C1
135	CC1CC=CCC(=O)O1
136	CCOC1C=CCC1=O
137	O=COCC1=CCCC1
138	CC1=CC(=O)CC1(C)O
139	CC1=CC(=O)C[C@@]1(C)O
140	CC1=CC(=O)C[C@]1(C)O
141	O=C1C2CCC(C2)C1O
142	O=C1[C@@H]2CC[C@@H](C2)[C@H]1O
143	O=C1[C@@H]2CC[C@H](C2)[C@@H]1O
144	O=C1[C@H]2CC[C@@H](C2)[C@H]1O
145	O=C1[C@H]2CCC(C2)[C@@H]1O
146	O=C1C2CC[C@@H](C2)[C@H]1O
147	COC12C=CC(CC1)O2
148	C[C@]1(O)C[C@H]2C=C[C@@H]1O2
149	O=CCC1C=CCC1O
150	O=CC[C@@H]1C=CC[C@@H]1O
151	O=CC[C@H]1C=CC[C@H]1O
152	O=CC1(O)CC=CCC1
153	CC(C)C1=CCOC1=O
154	CC(=O)C(=O)C1CCC1
155	CC[C@]12CCC(=O)[C@H]1O2
156	O=C1CCCC(=O)CC1
157	O=CC1C=CCC[C@@H]1O
158	O=C1CC2(CCO1)CC2
159	O=CCC(=O)C1CCC1
160	O=CO[C@H]1CC2CC1C2
161	OC1CC2C=CC(C1)O2
162	OC1C[C@H]2C=C[C@@H](C1)O2
163	OC1C[C@H]2C=C[C@H](C1)O2
164	C[C@@H]1CC[C@H]2OC(=O)[C@@H]12
165	O=C1CC2CC(O)C1C2
166	O=C1C[C@H]2CC(O)[C@@H]1C2
167	O=C1C[C@@H]2C[C@@H](O)[C@H]1C2
168	O=C1C[C@@H]2C[C@H]1[C@@H](O)C2
169	O=C1C[C@H]2C[C@H](O)[C@H]1C2
170	CCC1=CC(OC)=CO1
171	O=C1CCC(O)C12CC2
172	O=C1CC[C@H](O)C12CC2
173	CCOC1=CC(C)=CO1
174	O=C1COC2CCC1C2
175	O=C1CC2(C1)CC(O)C2
176	O=C1CCC2COCC12
177	O=C1CC[C@H]2COC[C@@H]12
178	OCC1=CC2OC2CC1
179	O=C1CC2CCCOC12
180	CC1=COC(C)=C1CO
181	O=C1CCCC2OC2C1
