	cids	SMILES	titles	descriptions	description_names
0	20750601	CC(=O)C1CC2C(C1)O2	1-(6-Oxabicyclo[3.1.0]hexan-3-yl)ethanone		
1	22121382	C1C(CC2C1CC2=O)O	3-Hydroxybicyclo[3.2.0]heptan-6-one		
2	11446324	C1[C@@H](C[C@H]2[C@@H]1CC2=O)O	(1S,3S,5S)-3-hydroxybicyclo[3.2.0]heptan-6-one		
3	21631920	C1[C@H](C[C@@H]2[C@H]1CC2=O)O	(1R,3R,5R)-3-hydroxybicyclo[3.2.0]heptan-6-one		
4	144417214	CCOC1=C(OC=C1)C	3-Ethoxy-2-methylfuran		
5	57550408	CC(=O)C1(CC1)CC=O	2-(1-Acetylcyclopropyl)acetaldehyde		
6	10011910	COC1CCC(=C1)C=O	3-Methoxycyclopentene-1-carbaldehyde		
7	116826535	C1CC(C1)C(=O)C2CO2	Cyclobutyl(oxiran-2-yl)methanone		
8	114535	CCC1CCC(=O)C1=O	3-Ethylcyclopentane-1,2-dione		
9	51374344	CC[C@H]1CCC(=O)C1=O	(3S)-3-ethylcyclopentane-1,2-dione		
10	130410564	CC12CCC(C1)C(=O)O2	1-Methyl-2-oxabicyclo[2.2.1]heptan-3-one		
11	15122666	C1CC(C(C1)C=O)C=O	Cyclopentane-1,2-dicarbaldehyde		
12	130826816	C1C[C@@H]([C@H](C1)C=O)C=O	(1S,2S)-cyclopentane-1,2-dicarbaldehyde		
13	122226831	CC12CC3C(O3)CC1O2	1-Methyl-4,8-dioxatricyclo[5.1.0.03,5]octane		
14	86080684	CC1CC(C(=O)C=C1)O	6-Hydroxy-4-methylcyclohex-2-en-1-one		
15	61634	CC1CC(C(=O)C1=O)C	3,5-Dimethyl-1,2-cyclopentanedione		
16	6997359	C[C@@H]1C[C@@H](C(=O)C1=O)C	3,5-Dimethyl-2-hydroxy-2-cyclopenten-1-one		
17	6997360	C[C@@H]1C[C@H](C(=O)C1=O)C	(3R,5R)-3,5-dimethylcyclopentane-1,2-dione		
18	6997361	C[C@H]1C[C@@H](C(=O)C1=O)C	(3S,5S)-3,5-dimethylcyclopentane-1,2-dione		
19	101003540	C1C/C=C\CC(=O)OC1	(5Z)-2,3,4,7-tetrahydrooxocin-8-one		
20	57090042	CC(=O)CC1(CC1)C=O	1-(2-Oxopropyl)cyclopropane-1-carbaldehyde		
21	70386011	C1COC2CC=CC1O2	2,9-Dioxabicyclo[3.3.1]non-6-ene		
22	124188859	CC12CC(C1)(OC2=O)C	1,4-Dimethyl-2-oxabicyclo[2.1.1]hexan-3-one		
23	130030480	COCC1CC=CC1=O	5-(Methoxymethyl)cyclopent-2-en-1-one		
24	12771785	CC12C(O1)CCCC2=O	1-Methyl-7-oxabicyclo[4.1.0]heptan-2-one		
25	93515720	C[C@@]12[C@@H](O1)CCCC2=O	(1S,6S)-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one		
26	93515721	C[C@]12[C@H](O1)CCCC2=O	(1R,6R)-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one		
27	83854329	CC1C(C=CC1=O)OC	4-Methoxy-5-methylcyclopent-2-en-1-one		
28	12224253	CCCC1=CC(=O)OC1	4-propyl-5H-furan-2-one		
29	130037185	CC12CCC(=O)CC1O2	6-Methyl-7-oxabicyclo[4.1.0]heptan-3-one		
30	131040882	C[C@]12CCC(=O)C[C@H]1O2	(1R,6S)-6-methyl-7-oxabicyclo[4.1.0]heptan-3-one		
31	53781655	C1CC1CC(=O)CC=O	4-Cyclopropyl-3-oxobutanal		
32	135139696	CC[C@]1(C=CCC1=O)O	(2R)-2-ethyl-2-hydroxycyclopent-3-en-1-one		
33	54302898	CCC1=C(C=C(O1)C)O	2-Ethyl-5-methylfuran-3-ol		
34	162523755	C1CC(=O)C2(CC2)OC1	4-Oxaspiro[2.5]octan-8-one		
35	68176732	C1CC2(CC1=O)COC2	2-Oxaspiro[3.4]octan-6-one		
36	14685203	CC1(CCCC1=O)C=O	1-Methyl-2-oxocyclopentane-1-carbaldehyde		
37	101253726	C[C@]1(CCCC1=O)C=O	(1S)-1-methyl-2-oxocyclopentane-1-carbaldehyde		
38	130703400	C[C@@]1(CCCC1=O)C=O	(1R)-1-methyl-2-oxocyclopentane-1-carbaldehyde		
39	57044362	CC1(C(=O)C=CCO1)C	6,6-dimethyl-2H-pyran-5-one		
40	12803676	C1CC2CC1CC(=O)O2	2-Oxabicyclo[3.2.1]octan-3-one		
41	10866334	C1C[C@@H]2C[C@H]1CC(=O)O2	(1R,5S)-2-oxabicyclo[3.2.1]octan-3-one		
42	10953504	C1C[C@H]2C[C@@H]1CC(=O)O2	(1S,5R)-2-Oxabicyclo[3.2.1]octan-3-one		
